codigo;opción;ejemplos
7.7.2a;how the researcher might benefit from accessing my information;NA
7.7.2a;what commercial profits would be made on the basis of my information;NA
7.7.2a;what sort of researchers are likely to access my information;NA
7.7.2a;how I might be acknowledged for my contribution to scientific knowledge;NA
7.7.2a;if the researchers were going to make money with the results (e.g. from patents);NA
7.7.2a;whether I would have access to the DNA readout generated by researchers;NA
7.7.2a;if I can participate in the governance of data access;NA
7.7.2a;how I will be assisted if there is a data breach;NA
7.7.3a;I would give permission for my information to go into a database for all future research and would not need to be updated with what happened to it;NA
7.7.3a;I’d want to be contacted about the different uses of my information up to once a day;NA
7.7.3a;I’d want to be contacted about the different uses of my information up to once a month;NA
7.7.3a;I’d want to be contacted about the different uses of my information up to once a year;NA
7.7.3a;I’m not sure;NA
7.7.3a;I wouldn’t donate my DNA information and/or medical information ;NA
7.7.4a;Yes;NA
7.7.4a;No;NA
7.7.4a;I'm not sure;NA
7.7.4a;I wouldn’t donate my DNA information and/or medical information;NA
8.8.1a;Transparent information about WHO will benefit from the data access;NA
8.8.1a;Transparent information about HOW others will benefit personally, professionally and commercially from the data access;NA
8.8.1a;A website that clearly explains the pros and cons of data access;NA
8.8.1a;The option to opt out of having your information accessed by other researchers;NA
8.8.1a;The option to withdraw your information in the future;NA
8.8.1a;Biographies and photos of the sorts of researchers who would access the data;NA
8.8.1a;Knowing exactly who is using your information, and for what purpose;NA
8.8.1a;The ability to access your own DNA information and/or medical information;NA
8.8.1a;Being able to communicate directly with gatekeepers of my DNA information and/or medical information;NA
8.8.1a;Details about the sanctions applicable if my data is misused by others;NA
8.8.1a;I wouldn’t donate my DNA information and/or medical information (not sure if this is included in this column);NA
8.8.2a;Transparent information about WHO will benefit from the data access;NA
8.8.2a;Transparent information about HOW others will benefit personally, professionally and commercially from the data access;NA
8.8.2a;A website that clearly explains the pros and cons of data access;NA
8.8.2a;The option to opt out of having your information accessed by other researchers;NA
8.8.2a;The option to withdraw your information in the future;NA
8.8.2a;Biographies and photos of the sorts of researchers who would access the data;NA
8.8.2a;Knowing exactly who is using your information, and for what purpose;NA
8.8.2a;The ability to access your own DNA information and/or medical information;NA
8.8.2a;Being able to communicate directly with gatekeepers of my DNA information and/or medical information;NA
8.8.2a;Details about the sanctions applicable if my data is misused by others;NA
8.8.3a;I would generally trust;NA
8.8.3a;I'm not sure;NA
8.8.3a;I would not generally trust ;NA
8.8.3b;I would generally trust;NA
8.8.3b;I'm not sure;NA
8.8.3b;I would not generally trust ;NA
8.8.3c;I would generally trust;NA
8.8.3c;I'm not sure;NA
8.8.3c;I would not generally trust ;NA
8.8.3d;I would generally trust;NA
8.8.3d;I'm not sure;NA
8.8.3d;I would not generally trust ;NA
8.8.3e;I would generally trust;NA
8.8.3e;I'm not sure;NA
8.8.3e;I would not generally trust ;NA
8.8.3f;I would generally trust;NA
8.8.3f;I'm not sure;NA
8.8.3f;I would not generally trust ;NA
8.8.3g;I would generally trust;NA
8.8.3g;I'm not sure;NA
8.8.3g;I would not generally trust ;NA
8.8.3h;I would generally trust;NA
8.8.3h;I'm not sure;NA
8.8.3h;I would not generally trust ;NA
8.8.3i;I would generally trust;NA
8.8.3i;I'm not sure;NA
8.8.3i;I would not generally trust ;NA
D.D.1a;under 16;NA
D.D.1a;17-20;NA
D.D.1a;21-30;NA
D.D.1a;31-40;NA
D.D.1a;41-50;NA
D.D.1a;51-60;NA
D.D.1a;61-70;NA
D.D.1a;71-80;NA
D.D.1a;81-90;NA
D.D.1a;91+;NA
D.D.2a;Male;NA
D.D.2a;Female;NA
D.D.2a;Prefer not to say;NA
D.D.3a;Yes;NA
D.D.3a;No;NA
D.D.3a;Prefer not to say;NA
D.D.5a;No formal schooling completed;NA
D.D.5a;Completed primary school/preparatory school/elementary school;NA
D.D.5a;Currently studying at secondary school/high school;NA
D.D.5a;Completed secondary school/high school;NA
D.D.5a;Currently studying at university/college/other tertiary education institution;NA
D.D.5a;Completed degree(s) at university/college/other tertiary education institution;NA
D.D.6a;White;NA
D.D.6a;Afro-european, African American, Black;NA
D.D.6a;Hispanic;NA
D.D.6a;South Asian Indian, Pakistani;NA
D.D.6a;East Asian Chinese, Japanese;NA
D.D.6a;Arab, Central Asian;NA
D.D.7a;A religious person;NA
D.D.7a;Not a religious person;NA
D.D.8a;Married / civil partnership / living together;NA
D.D.8a;Divorced;NA
D.D.8a;Separated;NA
D.D.8a;Widowed;NA
D.D.8a;Single;NA
